row_idx	row_name	col_idx	col_name	diff	away	home	initial_chances	if_home	if_away	sig
13	KC @ SF	11	KC	0.151	KC	SF	0.241	0.2	0.351	1
14	CLE @ TEN	11	KC	0.005	CLE	TEN	0.241	0.239	0.244	0
15	SEA @ WAS	11	KC	0.023	SEA	WAS	0.241	0.224	0.247	0
1	CHI @ CAR	12	OAK	0	CHI	CAR	0	0	0	0
2	HOU @ DAL	12	OAK	0	HOU	DAL	0	0	0	0
3	ARZ @ DEN	12	OAK	0	ARZ	DEN	0	0	0	0
4	BUF @ DET	12	OAK	0	BUF	DET	0	0	0	0
5	MIN @ GB	12	OAK	0	MIN	GB	0	0	0	0
6	BAL @ IND	12	OAK	0	BAL	IND	0	0	0	0
7	PIT @ JAC	12	OAK	0	PIT	JAC	0	0	0	0
8	CIN @ NE	12	OAK	0	CIN	NE	0	0	0	0
9	TB @ NO	12	OAK	0	TB	NO	0	0	0	0
10	ATL @ NYG	12	OAK	0	ATL	NYG	0	0	0	0
11	STL @ PHI	12	OAK	0	STL	PHI	0	0	0	0
12	NYJ @ SD	12	OAK	0	NYJ	SD	0	0	0	0
13	KC @ SF	12	OAK	0	KC	SF	0	0	0	0
14	CLE @ TEN	12	OAK	0	CLE	TEN	0	0	0	0
15	SEA @ WAS	12	OAK	0	SEA	WAS	0	0	0	0
1	CHI @ CAR	13	IND	0	CHI	CAR	0.687	0.687	0.687	0
2	HOU @ DAL	13	IND	0.068	HOU	DAL	0.687	0.713	0.645	1
3	ARZ @ DEN	13	IND	0.008	ARZ	DEN	0.687	0.69	0.681	0
4	BUF @ DET	13	IND	0.001	BUF	DET	0.687	0.687	0.688	0
5	MIN @ GB	13	IND	0.001	MIN	GB	0.687	0.687	0.688	0
6	BAL @ IND	13	IND	0.23	BAL	IND	0.687	0.775	0.544	1
7	PIT @ JAC	13	IND	0.001	PIT	JAC	0.687	0.688	0.687	0
8	CIN @ NE	13	IND	0.006	CIN	NE	0.687	0.685	0.691	0
